25/03/2023 17:10:24|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:15:27|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:15:58|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:19:39|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:19:39|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:19:39|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
25/03/2023 17:24:08|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
25/03/2023 17:24:08|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
25/03/2023 17:26:31|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:26:31|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
25/03/2023 17:26:31|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:26:31|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
25/03/2023 17:26:31|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
25/03/2023 17:45:07|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:45:07|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
25/03/2023 17:45:07|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:45:08|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
25/03/2023 17:45:08|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
25/03/2023 17:50:00|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:50:00|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
25/03/2023 17:50:00|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:50:00|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
25/03/2023 17:50:01|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
25/03/2023 17:50:51|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
25/03/2023 17:50:51|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
25/03/2023 17:50:52|INFO    |root                            |BAZARR is started and waiting for request on http://***.***.***.***:6767|
25/03/2023 17:50:52|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
25/03/2023 17:50:52|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
